"FW","resource","disturbance","replicate","FCL","richness","chain","omnivory","apparent","exploitative"
1,1,0.1,1,1.5,5,0,1,0,0
1,1,0.1,2,2.5,7,0.461538461538462,0.0769230769230769,0.153846153846154,0.307692307692308
1,1,0.1,3,1,6,0,0,0.222222222222222,0.777777777777778
1,1,0.1,4,2,11,0.25,0.125,0.275,0.35
1,1,0.1,5,2.33333333333333,8,0.357142857142857,0.142857142857143,0.214285714285714,0.285714285714286
1,1,0.1,6,2.5,13,0.137254901960784,0.156862745098039,0.352941176470588,0.352941176470588
1,1,0.1,7,2.11111111111111,16,0.231578947368421,0.105263157894737,0.305263157894737,0.357894736842105
1,1,0.1,8,4,19,0.239130434782609,0.0760869565217391,0.239130434782609,0.445652173913043
1,1,0.1,9,3,14,0.282051282051282,0.102564102564103,0.294871794871795,0.320512820512821
1,1,0.1,10,2,7,0.181818181818182,0.181818181818182,0.181818181818182,0.454545454545455
1,1,0.1,11,2,3,1,0,0,0
1,1,0.1,12,1,2,NA,NA,NA,NA
1,1,0.1,13,2,9,0.264705882352941,0.0882352941176471,0.264705882352941,0.382352941176471
1,1,0.1,14,3.875,18,0.375,0.0568181818181818,0.261363636363636,0.306818181818182
1,1,0.1,15,1,4,NA,NA,NA,NA
1,1,0.1,16,1,3,0,0,1,0
1,1,0.1,17,2.25,12,0.216216216216216,0.027027027027027,0.243243243243243,0.513513513513513
1,1,0.1,18,2.08333333333333,10,0.186046511627907,0.116279069767442,0.395348837209302,0.302325581395349
1,1,0.1,19,1.75,6,0.0909090909090909,0.272727272727273,0.363636363636364,0.272727272727273
1,1,0.1,20,2,7,0.2,0.2,0.1,0.5
1,1,0.1,21,2,5,0.333333333333333,0,0.333333333333333,0.333333333333333
1,1,0.1,22,2,5,0.25,0,0,0.75
1,1,0.1,23,3,17,0.220183486238532,0.0825688073394495,0.275229357798165,0.422018348623853
1,1,0.1,24,2.5,13,0.225,0.075,0.2,0.5
1,1,0.1,25,2.11111111111111,11,0.217391304347826,0.0434782608695652,0.326086956521739,0.41304347826087
1,1,0.1,26,2.33333333333333,9,0.315789473684211,0.105263157894737,0.157894736842105,0.421052631578947
1,1,0.1,27,3.5,14,0.2,0.133333333333333,0.111111111111111,0.555555555555556
1,1,0.1,28,2.25,13,0.184615384615385,0.123076923076923,0.276923076923077,0.415384615384615
1,1,0.1,29,2,10,0.357142857142857,0.0714285714285714,0.214285714285714,0.357142857142857
1,1,0.1,30,2.33333333333333,12,0.280701754385965,0.087719298245614,0.210526315789474,0.421052631578947
1,1,0.1,31,2.33333333333333,8,0.375,0.0625,0.1875,0.375
1,1,0.1,32,2,5,0.25,0.25,0,0.5
1,1,0.1,33,1,2,NA,NA,NA,NA
1,1,0.1,34,2,9,0.166666666666667,0.111111111111111,0.166666666666667,0.555555555555556
1,1,0.1,35,2,7,0.25,0.0833333333333333,0.0833333333333333,0.583333333333333
1,1,0.1,36,2,10,0.277777777777778,0.111111111111111,0.25,0.361111111111111
1,1,0.1,37,2.5,10,0.238095238095238,0.0476190476190476,0.285714285714286,0.428571428571429
1,1,0.1,38,2.5,14,0.350877192982456,0.087719298245614,0.192982456140351,0.368421052631579
1,1,0.1,39,2,9,0.5,0,0.25,0.25
1,1,0.1,40,2,7,0.1875,0.1875,0.25,0.375
1,1,0.1,41,2.16666666666667,9,0.206896551724138,0.137931034482759,0.137931034482759,0.517241379310345
1,1,0.1,42,2,4,0.333333333333333,0.333333333333333,0,0.333333333333333
1,1,0.1,43,3,10,0.264705882352941,0.117647058823529,0.382352941176471,0.235294117647059
1,1,0.1,44,2.5,8,0.321428571428571,0.107142857142857,0.142857142857143,0.428571428571429
1,1,0.1,45,2.08333333333333,13,0.150684931506849,0.123287671232877,0.342465753424658,0.383561643835616
1,1,0.1,46,3,15,0.27906976744186,0.0465116279069767,0.162790697674419,0.511627906976744
1,1,0.1,47,2,8,0.181818181818182,0.136363636363636,0.136363636363636,0.545454545454545
1,1,0.1,48,2,9,0.333333333333333,0,0.277777777777778,0.388888888888889
1,1,0.1,49,2,6,0.363636363636364,0,0.272727272727273,0.363636363636364
1,1,0.1,50,3.5,15,0.245901639344262,0.0819672131147541,0.213114754098361,0.459016393442623
1,1,0.1,51,2.16666666666667,9,0.2,0.166666666666667,0.2,0.433333333333333
1,1,0.1,52,2.16666666666667,10,0.230769230769231,0.153846153846154,0.230769230769231,0.384615384615385
1,1,0.1,53,1.83333333333333,7,0.214285714285714,0.428571428571429,0.142857142857143,0.214285714285714
1,1,0.1,54,1.5,8,0,0.2,0.1,0.7
1,1,0.1,55,3,11,0.366666666666667,0.0666666666666667,0.166666666666667,0.4
1,1,0.1,56,2,4,0.5,0,0,0.5
1,1,0.1,57,3,23,0.239263803680982,0.0920245398773006,0.276073619631902,0.392638036809816
1,1,0.1,58,2,8,0.307692307692308,0.0769230769230769,0.0769230769230769,0.538461538461538
1,1,0.1,59,2,8,0.105263157894737,0.157894736842105,0.210526315789474,0.526315789473684
1,1,0.1,60,3,9,0.461538461538462,0,0.0769230769230769,0.461538461538462
1,1,0.1,61,1,2,NA,NA,NA,NA
1,1,0.1,62,2,8,0.166666666666667,0.111111111111111,0.0555555555555556,0.666666666666667
1,1,0.1,63,2,9,0.411764705882353,0.0588235294117647,0.235294117647059,0.294117647058824
1,1,0.1,64,1.66666666666667,5,0,0.285714285714286,0.142857142857143,0.571428571428571
1,1,0.1,65,2,8,0.294117647058824,0.0588235294117647,0.235294117647059,0.411764705882353
1,1,0.1,66,3,10,0.290322580645161,0.0967741935483871,0.32258064516129,0.290322580645161
1,1,0.1,67,3.25,22,0.222222222222222,0.101010101010101,0.247474747474747,0.429292929292929
1,1,0.1,68,1,5,0,0,0.25,0.75
1,1,0.1,69,1.33333333333333,6,0,0.111111111111111,0.333333333333333,0.555555555555556
1,1,0.1,70,2,9,0.259259259259259,0.037037037037037,0.259259259259259,0.444444444444444
1,1,0.1,71,2.5,13,0.230769230769231,0.134615384615385,0.25,0.384615384615385
1,1,0.1,72,2,9,0.133333333333333,0.0666666666666667,0.2,0.6
1,1,0.1,73,2,6,0.444444444444444,0.111111111111111,0.111111111111111,0.333333333333333
1,1,0.1,74,1.83333333333333,8,0.238095238095238,0.142857142857143,0.285714285714286,0.333333333333333
1,1,0.1,75,3,15,0.296296296296296,0.0740740740740741,0.314814814814815,0.314814814814815
1,1,0.1,76,2.33333333333333,10,0.315789473684211,0.105263157894737,0.263157894736842,0.315789473684211
1,1,0.1,77,3,15,0.275862068965517,0.0862068965517241,0.137931034482759,0.5
1,1,0.1,78,3,10,0.428571428571429,0,0.142857142857143,0.428571428571429
1,1,0.1,79,2.25,15,0.244444444444444,0.0555555555555556,0.211111111111111,0.488888888888889
1,1,0.1,80,3.5,11,0.333333333333333,0,0.185185185185185,0.481481481481481
1,1,0.1,81,2.2,13,0.188679245283019,0.0943396226415094,0.283018867924528,0.433962264150943
1,1,0.1,82,1.66666666666667,7,0.111111111111111,0.333333333333333,0.222222222222222,0.333333333333333
1,1,0.1,83,2,12,0.195652173913043,0.108695652173913,0.260869565217391,0.434782608695652
1,1,0.1,84,3,14,0.285714285714286,0.0408163265306122,0.224489795918367,0.448979591836735
1,1,0.1,85,2.33333333333333,9,0.282051282051282,0.179487179487179,0.205128205128205,0.333333333333333
1,1,0.1,86,2,7,0.1,0,0.2,0.7
1,1,0.1,87,2,4,0.5,0,0,0.5
1,1,0.1,88,1.5,4,0.5,0,0.5,0
1,1,0.1,89,2.83333333333333,19,0.185185185185185,0.111111111111111,0.12962962962963,0.574074074074074
1,1,0.1,90,1.88888888888889,7,0.307692307692308,0.153846153846154,0.307692307692308,0.230769230769231
1,1,0.1,91,1.5,6,0.125,0.125,0.25,0.5
1,1,0.1,92,1.5,7,0.0666666666666667,0.133333333333333,0.2,0.6
1,1,0.1,93,2.08333333333333,12,0.175438596491228,0.105263157894737,0.210526315789474,0.508771929824561
1,1,0.1,94,2.125,14,0.176470588235294,0.117647058823529,0.294117647058824,0.411764705882353
1,1,0.1,95,2,7,0.222222222222222,0.111111111111111,0,0.666666666666667
1,1,0.1,96,2,6,0.25,0.25,0,0.5
1,1,0.1,97,0,2,NA,NA,NA,NA
1,1,0.1,98,1.66666666666667,5,0.166666666666667,0.333333333333333,0.333333333333333,0.166666666666667
1,1,0.1,99,2,6,0.222222222222222,0.222222222222222,0,0.555555555555556
1,1,0.1,100,2.5,8,0.388888888888889,0.0555555555555556,0.111111111111111,0.444444444444444
1,1,0.5,1,0,1,NA,NA,NA,NA
1,1,0.5,2,0,1,NA,NA,NA,NA
1,1,0.5,3,1.75,6,0,0.285714285714286,0.214285714285714,0.5
1,1,0.5,4,-1,0,NA,NA,NA,NA
1,1,0.5,5,1.5,3,0,1,0,0
1,1,0.5,6,2,10,0.166666666666667,0.125,0.0416666666666667,0.666666666666667
1,1,0.5,7,2,8,0.3,0.1,0.2,0.4
1,1,0.5,8,2.5,12,0.27906976744186,0.0465116279069767,0.162790697674419,0.511627906976744
1,1,0.5,9,1,6,0,0,0.25,0.75
1,1,0.5,10,-1,0,NA,NA,NA,NA
1,1,0.5,11,-1,0,NA,NA,NA,NA
1,1,0.5,12,2.5,7,0.363636363636364,0,0.272727272727273,0.363636363636364
1,1,0.5,13,2,6,0.285714285714286,0,0.285714285714286,0.428571428571429
1,1,0.5,14,1,2,NA,NA,NA,NA
1,1,0.5,15,1,5,0,0,0.333333333333333,0.666666666666667
1,1,0.5,16,2.5,6,0.571428571428571,0,0.142857142857143,0.285714285714286
1,1,0.5,17,2,7,0.166666666666667,0.166666666666667,0.416666666666667,0.25
1,1,0.5,18,-1,0,NA,NA,NA,NA
1,1,0.5,19,3,11,0.333333333333333,0.0833333333333333,0.125,0.458333333333333
1,1,0.5,20,3,8,0.307692307692308,0.0769230769230769,0.153846153846154,0.461538461538462
1,1,0.5,21,2,5,0.5,0,0,0.5
1,1,0.5,22,0,1,NA,NA,NA,NA
1,1,0.5,23,1,3,0,0,0,1
1,1,0.5,24,2,6,0.5,0,0,0.5
1,1,0.5,25,2.08333333333333,10,0.25,0.181818181818182,0.227272727272727,0.340909090909091
1,1,0.5,26,1,4,0,0,0.5,0.5
1,1,0.5,27,2.25,7,0.35,0.25,0.2,0.2
1,1,0.5,28,1,3,0,0,0,1
1,1,0.5,29,2,10,0.0588235294117647,0.205882352941176,0.147058823529412,0.588235294117647
1,1,0.5,30,1,2,NA,NA,NA,NA
1,1,0.5,31,2,7,0.0714285714285714,0.214285714285714,0.214285714285714,0.5
1,1,0.5,32,2,4,0.5,0,0,0.5
1,1,0.5,33,2,10,0.208333333333333,0.125,0.166666666666667,0.5
1,1,0.5,34,-1,0,NA,NA,NA,NA
1,1,0.5,35,2,9,0.357142857142857,0,0.285714285714286,0.357142857142857
1,1,0.5,36,2,6,0.111111111111111,0.222222222222222,0.111111111111111,0.555555555555556
1,1,0.5,37,2,6,0.142857142857143,0,0,0.857142857142857
1,1,0.5,38,2,7,0.142857142857143,0,0,0.857142857142857
1,1,0.5,39,2.5,5,0.666666666666667,0.166666666666667,0.166666666666667,0
1,1,0.5,40,1,2,NA,NA,NA,NA
1,1,0.5,41,1,2,NA,NA,NA,NA
